代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
2345,智邦,8.91,8.91,4.68,3.51,2.19,1.21,1.06,1.65,1.66,2.02
6294,智基,8.91,8.91,10.24,10.69,7.37,0.34,0.55,4.36,-0.96,-2.86
8341,日友,8.91,8.91,7.03,5.5,4.71,3.04,2.66,,,
2308,台達電,8.9,8.9,7.08,7.24,7.67,8.49,7.32,6.13,4.58,6.69
6568,宏觀,8.85,8.85,9.65,10.56,7.25,7.31,,,,
8480,泰昇-KY,8.79,8.79,7.15,9.41,8.09,1.89,,,,
8081,致新,8.74,8.74,3.7,4.67,5.06,7.09,6.33,8.25,8.12,9.5
2428,興勤,8.71,8.71,8.47,7.03,5.4,4.87,4.01,3.36,3.16,4.77
1477,聚陽,8.66,8.66,6.18,7.39,10.9,9.62,8.02,7.17,6.92,5.91
2228,劍麟,8.66,8.66,7.26,9.09,8.55,6.79,5.09,4.44,5.08,4.2
3558,神準,8.65,8.65,9.54,11.42,16.6,12.63,10.03,7.26,4.22,3.18
3130,一零四,8.62,8.62,9.6,12.04,9.99,9.41,7.46,5.67,6.71,7.72
2458,義隆,8.57,8.57,2.58,1.57,1.98,3.61,3.8,2.96,1.2,1.76
9910,豐泰,8.48,8.48,6.58,6.67,7.11,5.33,4.12,3.14,2.76,2.98
2385,群光,8.45,8.45,5.92,5.24,5.66,6.22,5.83,6.03,6.85,6.27
3570,大塚,8.37,8.37,1.51,4.42,5.01,5.49,4.62,3.52,4.09,2.81
9914,美利達,8.37,8.37,2.67,6.42,10.17,11.2,10.21,8.2,7.33,5.04
2317,鴻海,8.32,8.32,8.01,8.6,9.42,8.85,8.16,8.02,7.65,8.01
5903,全家,8.2,8.2,6.3,6.17,5.72,5.8,4.91,3.95,4.5,4.19
8499,鼎炫-KY,8.14,8.14,7.04,7.82,13.17,12.57,,,,
6213,聯茂,8.13,8.13,4.11,3.13,1.92,1.62,2.52,3.34,3.81,5.3
6230,超眾,8.12,8.12,5.79,10.95,7.77,6.6,6.2,4.71,2.86,4.15
4190,佐登-KY,8.05,8.05,3.12,4.66,6.45,5.18,5.43,-148,,
4736,泰博,8.03,8.03,5.43,6.56,6.45,6.61,5.42,2.56,3.4,3.62
6596,寬宏藝術,8.03,8.03,4.09,2.39,2.55,1.89,,,,
2231,為升,8,8,10,12.14,13.45,10.43,6,4.13,2.19,5
4580,捷流閥業,8,8,3.93,5.16,,,,,,
5306,桂盟,8,8,8.69,7.14,6.22,4.31,3.77,2.48,0.02,-0.48
5299,杰力,7.96,7.96,3.89,1.03,0.04,0.87,0.81,1.95,,
6472,保瑞,7.9,7.9,0.56,1.05,1.5,0.77,0.24,,,
8279,生展,7.86,7.86,7.08,4.69,3.76,2.04,0.86,,,
3413,京鼎,7.85,7.85,13.63,9.05,8.11,5.38,1.64,-3.6,-2,1.23
6683,雍智科技,7.85,7.85,4.39,7.34,,,,,,
6561,是方,7.83,7.83,6.4,5.29,4.31,3.71,,,,
9802,鈺齊-KY,7.81,7.81,5.65,5.23,0.88,3.19,2.24,2.69,5.44,5.38
3548,兆利,7.73,7.73,5.83,7.23,3.92,3.38,2.89,2.42,0.35,1.83
5474,聰泰,7.72,7.72,4.91,7.21,6.34,4.16,2.68,1.06,-0.14,-0.35
8482,商億-KY,7.67,7.67,10.63,10.93,10.42,,,,,
6491,晶碩,7.62,7.62,5.05,3.11,2.12,1.29,1.06,,,
8210,勤誠,7.62,7.62,3.8,5.01,4.22,4.52,2.85,3.99,3.86,3.83
1582,信錦,7.61,7.61,5.42,6.06,5.28,5.71,4.43,5.29,3.71,3.85
4551,智伸科,7.6,7.6,7.32,5.96,3.74,4.27,2.8,1.65,2.54,
9951,皇田,7.53,7.53,8.84,9.91,8.77,7.81,7.04,4.4,3.9,2.65
6239,力成,7.52,7.52,7.51,6.2,5.2,4.24,-5.24,4.58,5.93,10.89
3023,信邦,7.47,7.47,5.44,5.15,4.53,3.82,3.2,2.93,2.49,2.25
4938,和碩,7.4,7.4,5.66,7.5,9.23,6.24,4.16,2.83,0.05,2.73
6214,精誠,7.31,7.31,4.79,4.5,2.29,3.07,3.51,1.29,0.61,4.31
3529,力旺,7.3,7.3,7.9,7.06,6.32,5.52,3.87,2.15,2.03,3.48
6146,耕興,7.27,7.27,7.71,7.65,8.5,7.53,5.25,4.84,5.54,6.02
3376,新日興,7.25,7.25,4.1,6.13,9.02,6.36,5,6.04,2.28,4.69
6504,南六,7.25,7.25,7.46,8.02,8.01,5.79,5.39,3.2,2.32,0.1
1268,漢來美食,7.2,7.2,7.47,7.3,6.13,5.16,,,,
3661,世芯-KY,7.2,7.2,5.08,-3.45,2.07,3.77,2.1,0.41,1.23,7.95
4119,旭富,7.19,7.19,2.41,5.34,5.17,3.83,2.78,3.96,1.84,3.82
