"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1105",="6654","天正國際","50.9","-","","","","","","","","","","","","","","","","",""
"1106",="1724","台硝","12.1","2013","14.5","-39.4","2.1","-63","0.37","-84","14.5","-9.26","2.53","-6.17","0.29","-1.51","2.02","-8.94","1.46","-6.27","45"
"1107",="2070","精湛","31","-","","","","","","","","","","","","","","","","",""
"1108",="4148","全宇生技-KY","38.75","-","","","","","","","","","","","","","","","","",""
"1109",="5211","蒙恬","13.6","2013","3.29","-22.2","2.15","-22.6","0.25","-53.8","65.2","-0.36","7.69","-5.26","0.79","-0.92","4.66","-4.98","3.94","-4.35","62"
"1110",="1473","台南","19.8","2013","93.3","-15.1","23.9","-12.2","2.35","+34","25.6","+0.87","-0.8","-1.02","1.62","+0.42","-1.55","-2.02","-0.88","-1.16","40"
"1111",="3489","森寶","10.1","2013","12.1","+112","1.7","+211","0.7","+180","14","+4.46","5.77","+21.1","1.1","+2.76","8.47","+23.2","5.77","+16.3","43"
"1112",="4711","永純","13.75","2013","16.5","-15.8","1.26","-19.8","0.39","-13.8","7.62","-0.39","2.38","+0.05","0.65","-0.1","3.5","-0.53","2.53","-0.39","43"
"1113",="6251","定穎","18.8","2013","101","-5.4","9.58","+19.6","-2.55","+65.1","9.44","+1.97","-2.55","+4.45","-0.9","+1.61","-5.72","+9.17","-2.3","+3.6","25"
"1114",="8077","洛碁","9.5","2013","3.11","-14.4","-0.37","+53.9","-0.51","+68.8","-12","+10.3","-16.5","+28.7","-0.8","+2.08","-169","+331","-17.2","+15.5","32"
"1115",="1529","樂士","14.2","2013","1.26","+52.6","0.19","+111","-0.83","+67.4","15.1","+234","-66.2","+244","-0.33","+0.69","-17.5","+22.1","-12.8","+16.9","34"
"1116",="1321","大洋","29.85","2013","58.9","+7.49","3.72","+63.1","0.13","+111","6.32","+2.16","0.22","+2.37","0.06","+0.6","0.26","+2.55","0.15","+1.49","38"
"1117",="2641","正德","6.19","2013","6.68","+3.53","1.13","+10.5","0.49","+37.8","16.9","+1.07","7.37","+1.83","0.52","+0.14","4.81","+1.25","2.07","+0.62","43"
"1118",="1413","宏洲","7","2013","46.7","+17","-1.62","-36.6","-2.98","-11.3","-3.47","-0.5","-6.38","+0.3","-1.77","-0.18","-26.9","-6.73","-8.23","-0.73","23"
"1119",="3673","TPK-KY","41.6","2013","1,591","-9.93","209","-30","71.9","-50","13.2","-3.76","4.79","-3.66","21.9","-24.2","17.3","-23.8","5.44","-8.01","47"
"1120",="5398","慕康生醫","25.6","2013","2.94","+1.77","0.71","-5.92","0.07","+22.1","24.2","-1.98","2.46","+0.65","0.17","+0.03","1.6","+0.42","1.35","+0.35","55"
