代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
2883,開發金,0,0,0,0,0,0,0,0,0.1,0.1
2916,滿心,0,0,0,0,0,0,0,0,0,1
5015,華祺,0,0,0,0,0,0,0,0,0,0
9927,泰銘,0,0,0,0,0,0,0.25,0,0,0.5
3501,維熹,0,0,0,0,0,0,0,0,0.2,0.2
2606,裕民,0,0,0,0,0,0,0,0,0,0
2471,資通,0,0,0,0,0,0,0,0,0,0
3617,碩天,0,0,0,0,0,0,0,0,0,0
3044,健鼎,0,0,0,0,0,0,0,0,1.1,0
2397,友通,0,0,0,0,0,0,0,0,0,0
4987,科誠,0,0,0,0,0.5,0,0,0,0,
6210,慶生,0,0,0,0,0,0,0,0,0,0
8435,鉅邁,0,0,0,0,0.3,0.4,0,0.5,0.8,3.81
6208,日揚,0,0,0,0,0,0,0,0,0.25,0
2727,王品,0,0,0,0,0,0.3,1,0,2.05,
6206,飛捷,0,0,0,0,0.5,1,0.96,1,1,0.5
8390,金益鼎,0,0,0,0,0.1,0.2,0.15,0.39,0.26,0.3
6189,豐藝,0,0,0,0,0,0,0,0,0,0
3455,由田,0,0,0,0,0,0,0,0,0,0
9942,茂順,0,0,0,0,0,0,0,0,0,0
2404,漢唐,0,0,0,0,0,0,0,0,0,0
3541,西柏,0,0,1,0,1.5,0,0,0.5,1,0
2476,鉅祥,0,0,0,0,0,0,0,0,0,0
5403,中菲,0,0,0,0,0,0,0,0,0.21,0
6613,朋億,0,0,0,0.5,,,,,,
4417,金洲,0,0,0.2,0,0.3,0.4,0.8,0.4,0.5,0.3
6560,欣普羅,0,0,0,0,,1,,,,
1315,達新,0,0,0,0,0,0,0,0,0,0
5278,尚凡,0,0,0,0,0,0,0,,,
0056,元大高股息,0,0,0,0,0,0,0,0,0,
2535,達欣工,0,0,0,0,0,0,0,0,0,0
3679,新至陞,0,0,0,0,0,0,0,0,0,0
8249,菱光,0,0,0,0,0,0,0,0,0,0
2324,仁寶,0,0,0,0,0,0,0,0,0,0.2
6640,均華,0,0,0,,,,,,,
5512,力麒,0,0,0,0,0,0,0.99,0.81,0.91,1
3528,安馳,0,0.2,0.1,0.2,0.3,0.3,0.5,0.8,0.89,1
3209,全科,0.2,0.5,0.5,1.6,1.5,0.65,0.3,1,1.5,0.5
5493,三聯,0,0,0,0,0.7,0,0.8,0,0,0
9924,福興,0,0,0,0,0,0,0,0,0,0
4722,國精化,0,0.5,0,0,0,0,0,0,0,0.4
8422,可寧衛,0,0,0,0,0,0,0,0,0,
8342,益張,0,0,0,0,0,0,0,0,0,0
3147,大綜,0,0,0,0,0,1.1,1,1.2,1.5,1.1
5371,中光電,0,0,0,0,0,0,0,0,0,0
2614,東森,0,0,0,0,0,0,0,0,0,0
5878,台名,0,0,0,0,2.6,0,0.8,,,
2451,創見,0,0,0,0,0,0,0,0,0,0
4303,信立,0,25,0,0.3,0.1,0,0,0,0,0
3265,台星科,0,0,0,0,0,0,0,0,0,0
6224,聚鼎,0,0,0,0,0,0,0,0,0,0
8163,達方,0,0,0,0,0,0,0,0,0,0.5
6214,精誠,0,0,0,0,0,0,0,0,0,0
1109,信大,0,0,0,0,0,0,0,0,0,0
2423,固緯,0,0,0,0.5,0.5,0.75,0.5,0.5,0.5,0.5
2637,慧洋-KY,0,0,0.5,0,0,0.25,0.5,1,1,1
1417,嘉裕,0,0,0,0,0,0,0,0,0,0
2235,謚源,0,0,0,0,0,0,0,0,0.6,
2034,允強,0,0,0,1,0,0,0,0,0,0
4581,光隆精密-KY,,,,,,,,,,
5312,寶島科,0,0,0,0,0,0,0,0,0,0
3005,神基,0,0,0,0,0,0,0,0,0,0
2414,精技,0,0,0,0,0,0,0,0,0,0
5465,富驊,0,0,0,0,0,0,0,0,0,0
4527,方土霖,0,0,0,0,0,0,0,0.49,0.2,0
1540,喬福,0,0,0,0,0,0,0,0,0,0
2114,鑫永銓,0.5,0,0,0,0,1,0,0,0,1
4430,耀億,0,0,0,0,0,0,0,0,0,1.5
8107,大億金茂,0,0,0,0,0,0,0,0,0,0
4999,鑫禾,0,0,0,0,0,0,1,6.5,2,
1103,嘉泥,0,0,0,0,0,0,0,0.3,0.3,0.2
6202,盛群,0,0,0,0,0,0,0,0,0,0
3526,凡甲,0,0,0,0,0,0,0,0,1,1
5434,崇越,0,0,0,0.2,0.3,0.2,0.2,0,0.2,0.2
6123,上奇,0.5,0,0.5,0,0,0,0,0,0,0
3702,大聯大,0,0,0,0,0,0,0,0,0.9,1.8
6506,雙邦,0.2,0.3,0.2,0.2,0.3,0.2,0,0.2,0.4,0.4
3211,順達,0,0,0,0,0,0,0,0,0,0
3684,榮昌,0,0,0,1.5,0.3,0,0.3,0,0,1.2
4305,世坤,0,0,0,0,0,0,0,0,0,0
8466,美吉吉-KY,0,0,0,0,,,,,,
1310,台苯,0,0,0,0,0,0.5,0,0,0,0
4952,凌通,0,0,0,0,0,0,0,0,0,
2453,凌群,0,0,0,0,0,0,0,0,0,0
3029,零壹,0,0,0,0,0.41,0,0,0,0,0
5546,永固-KY,,,,,,,,,,
4974,亞泰,0,0,0,0,0,0,0,0,0,
9802,鈺齊-KY,0,0,0,0,0,0,0,1,,
4572,駐龍,0.5,0,,,,,,,,
2221,大甲,0,0,0,0,0,0,0,0,0,0
2547,日勝生,0.2,0,0,0,0.2,0.2,0.2,0.3,0.6,0.3
6629,泰金-KY,0,,,,,,,,,
1201,味全,0,0,0,0,0,0,0,0,0,0
4438,廣越,0,0,0,0,1.5,,,,,
6277,宏正,0,0,0,0,0,0,0,0,0,0
6470,宇智,0,0,0,0,0.5,,,,,
8416,實威,0,1,0,0,0,0,0,0,1,1
2890,永豐金,0,0.2,0.35,0.5,0.74,0.81,0.8,0.32,0.43,0
1522,堤維西,0,0,0,0,0,0,0,0.1,0.3,1
8021,尖點,0,0,0,0,0,0,0.08,0.27,0.25,0.3
5490,同亨,0,0,0,0,0,0,0,0,0,0
2108,南帝,0,0.5,0.5,0.5,0.25,0.4,0.5,0.5,0.6,0.8
8099,大世科,0.5,0,0,0,0,0,0,0,0,0
3479,安勤,0,0,0,0,0,0,0,0,0,0.09
6525,捷敏-KY,1,1,0,0,,,,,,
2420,新巨,0,0,0,0,0,0,0,0,0,0
5315,光聯,0,0,0,0,0,0,0,0,0,0
3169,亞信,0,0,0,0,0,0,0,0,0,0
2732,六角,0,0.49,0,1.49,0.5,2.5,5,,,
3010,華立,0,0,0,0,0,0,0,0,0,0
3038,全台,0,0,0,0,0,0,0,0,0,0
3092,鴻碩,0.5,0.2,1,0,0,0,0,0,0.5,0.5
4550,長佳,0,0,0,0,0,0,1,,,
3030,德律,0,0,0,0,0,0,0.6,0.3,0.7,0.5
8074,鉅橡,0,0,0,0,0,0,0,0,0.7,0.7
6674,鋐寶科技,0,0,,,,,,,,
2616,山隆,0,0,0,0,0,0,0,0,0,0
2439,美律,0,0,0,0,0,0.5,0.6,0.5,0,0
8131,福懋科,0,0,0,0,0,0,0,0,0,0
