代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0056,元大高股息,6.21,6.06,3.8,5.64,4.58,4.14,3.69,5.71,9.94,
2535,達欣工,7.66,8.15,8.8,5.14,10.4,12.3,7.47,7.92,9.41,6.19
3679,新至陞,4.41,10.6,10.8,5.65,8.34,6.83,5.66,7.98,3.91,3.47
8249,菱光,5.52,8.04,6.18,8.57,8.66,4.82,4.19,5.39,12.1,3.44
2324,仁寶,6.37,6.88,5.63,6.51,8.11,4.5,4.41,7.16,8.97,6.13
6640,均華,7.05,7.18,,,,,,,,
5512,力麒,3.79,7.8,5.03,6.34,8.6,3.6,3.72,1.32,4.9,1.57
3528,安馳,6.58,7.11,6.93,7.97,7.59,5.54,5.77,6.79,3.82,3.96
3209,全科,4.73,4.68,5.47,4.94,5.13,4.82,2.7,5.16,7.33,3.48
5493,三聯,4.65,5.71,7.46,7,4.75,8.41,3.53,9.28,12.2,3.67
9924,福興,5.47,5.88,7.45,6.7,4.59,6.6,4.64,4.71,7.14,6.25
4722,國精化,6.52,5.75,7.23,8.28,4.7,4.88,5.6,4.57,3.69,0.88
8422,可寧衛,6.41,6.61,6.57,6.08,4.58,5.46,6.19,5.68,2.22,
8342,益張,7.69,7.48,10.1,,,,,,,
3147,大綜,4.18,5.32,4.67,8.82,3.1,1.42,,,,
5371,中光電,9.03,7.88,10.3,4.42,12.8,0,3.4,7.11,17.1,5.87
2614,東森,8.85,0,0,0,0,4.5,0,0,0,0
5878,台名,6.08,7.02,7.16,7.04,2.38,5.77,,,,
2451,創見,6.42,8.98,7.26,7.98,9.1,6.79,7.58,6.81,3.79,7.59
4303,信立,5.49,128,0,1.53,0.78,0,0,0,0,0
3265,台星科,4.36,5.86,2.88,1.09,10,6.8,5.24,6.04,8.47,1.96
6224,聚鼎,5.61,5.54,8.01,7.36,6.3,6.11,6.43,7.51,7.48,4.18
8163,達方,7.95,5.1,6.75,9.37,1.56,1.12,2.68,2.6,9.49,3.26
6214,精誠,6.62,8.13,8.43,8.61,9.37,4.93,2.98,6.07,6.47,4.26
1109,信大,3.98,0.72,0.76,2,1.99,8.99,3.18,3.29,2.65,3.41
2423,固緯,6.7,6.48,5.27,3.62,2.96,1.19,2.79,5.71,3.92,2.15
2637,慧洋-KY,5.03,3.44,3.46,8.21,8.06,5.46,5.01,3.59,3.9,3.45
1417,嘉裕,0,0,0,0,0,2.49,5.77,0,0,0
2235,謚源,4.99,6.94,4.26,4.07,2.96,2.6,2.48,3.42,,
2034,允強,6.92,7.36,6.73,3.69,10.2,6.16,3.06,6.94,7.48,2.11
4581,光隆精密-KY,,,,,,,,,,
5312,寶島科,5.63,6.55,5.37,4.83,4.31,4.97,3.33,3.38,3.08,2.5
3005,神基,6.42,6.21,6.78,5.25,6.48,6.02,3.24,4.44,2.82,6.52
2414,精技,6.28,7.43,6.63,7.23,7.62,5.6,7.82,9.38,9.89,8.22
5465,富驊,1.94,0,0,1.98,1.97,0,0,0,0,0
4527,方土霖,8.23,6.54,7.17,6.33,7.56,6.23,4.69,3.05,1.46,1.34
1540,喬福,7.69,3.77,6.35,7.84,9.38,5.65,5.17,7.96,7.51,10.8
2114,鑫永銓,6.05,6.27,5.68,6.49,6.88,4.65,6.08,4.68,5.56,4.5
4430,耀億,4.59,3.64,4.02,5,4.3,4.42,3.56,3.92,2.7,3.23
8107,大億金茂,4.44,31.9,0,3.18,0,0,0,0,11.4,0
4999,鑫禾,8.03,6.53,6.18,5.69,9.62,4.98,2.39,2.89,,
1103,嘉泥,4.47,3.68,1.5,1.15,3.15,7.07,0,1.44,2.53,1.16
6202,盛群,6.84,7.03,5.09,7.22,6.89,5.9,5.26,7.8,11.9,5.52
3526,凡甲,6.44,5.05,6.33,2.39,5.38,1.6,6.34,7.2,16.2,9.53
5434,崇越,5.02,6.03,6.18,4.62,6.8,6.38,6.02,8.98,6.56,3.78
6123,上奇,10.1,7.83,5.83,6.48,5.44,4.59,6.31,9.73,7.69,1.95
3702,大聯大,6.91,6.5,5.81,6.32,7.95,6.24,7,6.84,6.02,3.55
