"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"77",="4938","和碩","05/22","60.7","+0.1","+0.17","2018","51.4","5.66","4","0","4","7.79","0","7.79","70.7","0","70.7","18'08/24"
"78",="1434","福懋","05/22","33.8","-0.25","-0.73","2018","34.55","2.54","1.9","0","1.9","5.5","0","5.5","74.8","0","74.8","18'08/22"
"79",="6294","智基","05/22","108.5","-1.5","-1.36","2018","104","10.24","7.5","1","8.5","7.21","0.96","8.17","73.2","9.77","83","18'08/17"
"80",="2597","潤弘","05/22","61.1","-0.5","-0.81","2018","49.15","2.55","2.35","0","2.35","4.78","0","4.78","92.2","0","92.2","18'07/25"
"81",="4557","永新-KY","05/22","68","-0.3","-0.44","2018","61.2","5.26","5","0","5","8.17","0","8.17","95.1","0","95.1","18'07/18"
"82",="8916","光隆","05/22","40.8","-0.3","-0.73","2018","44.8","-1.09","2.99","0","2.99","6.67","0","6.67","-274","0","-274","18'09/14"
"83",="2433","互盛電","05/22","52","-0.5","-0.95","2018","42.1","3.85","3.5","0","3.5","8.31","0","8.31","90.9","0","90.9","18'07/25"
"84",="5410","國眾","05/22","20.7","-0.1","-0.48","2018","15.3","1.4","1.23","0","1.23","8.04","0","8.04","87.9","0","87.9","18'08/31"
"85",="8928","鉅明","05/22","27.6","+0.1","+0.36","2018","22.95","1.78","1.5","0","1.5","6.54","0","6.54","84.3","0","84.3","18'08/09"
"86",="2493","揚博","05/22","34.6","+0.1","+0.29","2018","24.5","2.16","1.75","0","1.75","7.14","0","7.14","81","0","81","18'08/10"
"87",="1608","華榮","05/22","9.15","-0.03","-0.33","2018","9.2","1.04","0.73","0","0.73","7.93","0","7.93","70.2","0","70.2","18'08/10"
"88",="3206","志豐","05/22","27.75","-0.4","-1.42","2018","23","1.5","1","0.2","1.2","4.35","0.87","5.22","66.7","13.3","80","18'08/27"
