代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
2471,資通,1.2,1,1.34,1.04,1.2,1,1.5,1.2,1.2,0
3617,碩天,5.3,5,4.75,4.5,4.23,4.01,3.8,3.59,3.47,3.2
3044,健鼎,5.9,5.25,4.25,3.25,2.75,2.25,2.5,3.6,4.3,2.7
2397,友通,5.28,4.2,4.5,2.85,2.58,1.8,1.5,1.5,1.03,2.58
4987,科誠,5,4.7,3.5,5,5,4,2.5,2.3,2,
6210,慶生,2.6,3.5,2,4,4,3.5,3,3,4,1
8435,鉅邁,3.2,3.3,3,3.15,3,2.9,3,2.5,2.5,3
6208,日揚,1.7,1.4,0.8,0.2,0.8,0.6,0.3,1.5,0.25,0
2727,王品,4.39,5.5,3.5,1,8.09,12.27,13.67,10.24,10,
6206,飛捷,5,4.5,5,6,5.95,6,3.35,3.5,4.5,4
8390,金益鼎,0.45,0.3,0.2,0.2,0.2,0.1,0.85,1.76,1.32,1.2
6189,豐藝,2.63,1.8,2.3,3,3.2,3,2.2,2.2,2,2
3455,由田,3,2.05,3.5,2.5,0.5,0,0,1,2.98,0.99
9942,茂順,4.2,4.2,4,4,4,5,3.2,3.2,3.2,2.8
2404,漢唐,10,6,6,4.5,2.5,2.4,1.8,3,3.97,1.51
3541,西柏,4,5,4,4,4.5,2.5,2.5,2,2.15,1.75
2476,鉅祥,1.26,1.6,1.7,1.53,1.5,1.28,1,0.7,1.2,1
5403,中菲,3,3.4,3,2.6,1,2,1.6,1.01,1.79,1.77
6613,朋億,15,10,6,3.5,,,,,,
4417,金洲,2.5,1.8,2.2,1.8,1,0.5,0.9,0.5,0.6,0.3
6560,欣普羅,3,0,2,2.46,,3,,,,
1315,達新,1.2,1.1,1.1,1.1,1.1,1,1,1.7,1,1
5278,尚凡,18.04,0,0,0,0.96,5.7,6.58,,,
0056,元大高股息,1.8,1.45,0.95,1.3,1,1,0.85,1.3,2.2,
2535,達欣工,1.62,1.6,1.58,1,1.5,2.5,2.1,1.6,1.6,1.2
3679,新至陞,3,6.11,8,4,3.5,3,3.04,4,2.5,3.5
8249,菱光,1.3,1.6,1.6,1.8,1.9,1.2,0.9,0.8,1.7,1
2324,仁寶,1.2,1.2,1.2,1.2,1.5,1,1.01,1.4,2.71,2.37
6640,均華,3,3,3.5,,,,,,,
5512,力麒,0.4,0.7,0.5,0.51,0.8,0.5,0.5,0.2,0.51,0.3
3528,安馳,2.5,2.3,2.4,2.3,2.2,2,1.8,1.8,1.78,2
3209,全科,1,0.8,1.1,1.2,1.3,1.5,0.6,1.1,1.5,1.4
5493,三聯,1.75,1.6,2,2.2,1.5,2.4,1,2,3,1.2
9924,福興,2.4,2,2.8,2.8,2,2,1.5,1.2,1.2,1.5
4722,國精化,1.8,1.5,2.5,2.8,1.5,1.2,1.5,1,0.79,0.2
8422,可寧衛,10,11,11.5,10,8,8,12.03,10.88,4.66,
8342,益張,3.5,2.99,5.8,3.2,2.5,3,2,1.2,1,1.5
3147,大綜,1.7,1.24,1,1.5,0.5,0.2,0.12,0.16,0.2,0.2
5371,中光電,3.5,3,3.5,1.5,3.5,0,1,1.6,3.5,2.8
2614,東森,1,0,0,0,0,0.5,0,0,0,0
5878,台名,2.75,3.2,3.2,3,1,3,2.5,,,
2451,創見,5,6,6,6.8,7.8,6.7,6.5,5.5,3,5.99
4303,信立,1.2,30,0,0.3,0.1,0,0,0,0,0
3265,台星科,1.2,1.3,0.85,0.25,2.26,2.53,2.35,2.35,1.66,0.42
6224,聚鼎,3.75,3,4.55,4.3,4.2,4.1,4.1,3.91,3.48,2.49
8163,達方,3.5,2,2,2,0.3,0.2,0.6,0.5,1.5,1.2
6214,精誠,5,5,5,5,4.98,3,2,2,2.06,2
1109,信大,0.8,0.1,0.1,0.2,0.2,1.2,0.38,0.35,0.28,0.35
2423,固緯,1.8,1.5,1.2,0.7,0.5,0.25,0.5,1,0.75,0.5
2637,慧洋-KY,1.49,1,1,2.5,2.92,2,1.75,1.5,1.5,1.5
1417,嘉裕,0,0,0,0,0,0.2,0.5,0,0,0
2235,謚源,3,3.5,4,5,4,2,1.5,1,0,
2034,允強,1.8,1.8,1.8,1,2,1.5,0.7,1.2,1.21,0.5
4581,光隆精密-KY,,,,,,,,,,
5312,寶島科,3.8,3.8,3.6,3.6,3.6,4.2,3.6,2.6,2.2,2
3005,神基,3,2.5,3,2,1.3,1,0.5,0.7,0.4,1.18
2414,精技,1.45,1.4,1.3,1.25,1.2,1,1.15,1.35,1.32,1.32
5465,富驊,0.27,0,0,0.26,0.2,0,0,0,0,0
4527,方土霖,2,2,2.2,1.8,1.8,1.7,1.34,0.59,0.2,0.2
1540,喬福,1.5,0.6,1,1,1.5,1.3,1,1.5,1.3,2.5
2114,鑫永銓,5,5,5,5,5,5,5,4,2.99,1.5
4430,耀億,1.5,1,1,1.2,1.2,1.5,1.43,1.3,2,2
8107,大億金茂,1,7,0,0.71,0,0,0,0,0.85,0
4999,鑫禾,3.5,3,3.1,3,4,3,2,2,2,
1103,嘉泥,1,0.5,0.2,0.1,0.3,1,0,0.2,0.3,0.2
6202,盛群,4.7,4.1,3.5,3.57,3.5,3.3,2.5,2.3,3.16,2.5
3526,凡甲,5.2,2.53,4.8,1.78,1.18,0.5,1.68,2.22,4.75,6.79
5434,崇越,5.3,4.2,5,3.9,3.7,3.6,3.58,4.3,2.8,1.5
6123,上奇,4.1,3,2.5,2.08,1.51,1.3,2.2,2.7,2.8,1
3702,大聯大,2.7,2.4,2.29,2.4,2.5,2.3,2.4,2.6,2.1,2
6506,雙邦,1,1,1.5,0.8,0.3,0.4,0.3,0.4,0.6,0.6
3211,順達,3.5,2.5,3,3.5,5,5,6.5,6.5,5.99,5.99
3684,榮昌,1.54,2.7,2.5,2.5,2.7,2,2.1,1.45,1.1,0.5
4305,世坤,2.6,2.4,2.4,2.3,1.8,1.8,1.7,1.1,0.8,1.2
8466,美吉吉-KY,3,6,7,6.2,,,,,,
1310,台苯,2,1.6,2.2,1,0,0.5,0,0,0,0.6
4952,凌通,2.5,3,3.5,3.2,2.8,2.5,1,1.5,3,
2453,凌群,0.5,0.7,0.5,0.5,0.6,0.6,0.5,0.5,0,0.35
3029,零壹,1.5,1.3,1.2,1,0.41,0.85,0.8,0.7,0.7,0.5
5546,永固-KY,,,,,,,,,,
4974,亞泰,3.1,2.75,2.49,2.65,2.7,2.5,2.44,2.6,2.6,
9802,鈺齊-KY,3.63,4.11,3.19,1.99,2.47,2,2,0.6,,
4572,駐龍,3.5,0.5,,,,,,,,
2221,大甲,2.1,1.5,1.3,1.01,0.31,0.31,0.31,1.3,0,0
2547,日勝生,0.8,0,0,0,1,1,0.8,1.2,2.4,1.2
6629,泰金-KY,1.5,,,,,,,,,
1201,味全,0.8,0,0,0,0,0.6,0.6,0.6,0.6,0.6
4438,廣越,6,4.56,6.2,7.2,3.5,,,,,
6277,宏正,8,5.5,5.8,5.2,5.7,5,3.3,3.5,4.1,3
6470,宇智,2.5,2,4,4,2.5,,,,,
8416,實威,7.5,6,6,6,5.5,5,4,5,4,3.4
2890,永豐金,0.64,0.5,0.34,0.43,0.5,0.34,0.33,0.14,0.15,0.12
1522,堤維西,1.3,1.6,2,1.5,1,0,0,0.1,0,0.5
8021,尖點,1.2,0.4,0.91,1.36,1.22,0.8,0.71,0.72,0.75,0.3
5490,同亨,0.5,1,4,4.5,2.5,3.5,1.63,2.5,3.32,1.08
2108,南帝,1.8,1,1,2,0.25,0.4,0.5,1.5,0.9,0.8
8099,大世科,0.52,1.62,1.14,1,1.7,1.4,0.88,1.5,1,1.72
3479,安勤,2.6,2.6,3.6,3.55,2.8,3,3.44,2.31,2.8,1.96
6525,捷敏-KY,4,3,3.8,3.3,,,,,,
2420,新巨,2.8,2.7,3,2.5,3.5,2.8,2,2,1.8,1
5315,光聯,1.47,1,2.5,0,0,0,0,0,0,0
3169,亞信,2,1.8,1,1.5,1.5,2,2,2,2.5,2.1
2732,六角,4.38,3.94,4.92,3.97,4,3,1,,,
3010,華立,3.2,3.3,2.6,2.7,3.3,3,2.5,2.3,3.5,2.3
3038,全台,0.5,0.41,0.41,0.32,0,0,0,0,0,0
3092,鴻碩,4.5,4,2,0.6,0.5,0,0.3,0.5,0.7,0.7
4550,長佳,1.25,1.27,1.97,1.26,1.25,1.5,1,,,
3030,德律,3.7,3,3,4,4.3,3.3,3.7,2.7,2.3,0.5
8074,鉅橡,1.24,1.39,1.67,1.49,1.3,1.3,1.5,1,0.3,0.8
6674,鋐寶科技,1.8,1.8,,,,,,,,
2616,山隆,1.6,2.51,2.06,1.49,1.5,1.5,1.5,1,1.51,1.01
2439,美律,8.5,15.82,8.88,3.24,4.8,3.7,2,1.51,3.75,3.26
8131,福懋科,2.5,2.5,2,2,1.4,0.4,1,1.6,2.5,0.9
5285,界霖,3.54,3.16,1.55,1.8,1.5,1.5,1,1,,
2430,燦坤,0.9,1.36,2,1.21,0.4,2,2,4.5,4.5,3
6281,全國電,4,4,4.3,3.7,3.9,3.5,4.9,4,3.48,3.56
5243,乙盛-KY,1.5,2,1.5,1.2,2.57,1.5,0,,,
6242,立康,2.5,2.5,1.3,0.05,0,0,0,0,0,0
6494,九齊,2.2,3.5,3,1.8,2.2,,,,,
1101,台泥,3.31,1.5,1.45,1.33,2.49,2.3,1.9,1.9,2,1.8
6188,廣明,1.5,1.2,1.5,1.2,3.2,3,1.3,1.3,2,3.2
6023,元大期,2.8,2,2.47,2.28,6.94,2.07,1.79,2.4,1.58,1.83
2937,集雅社,0.7,0.6,0.46,0.5,,,,,,
