代號,名稱,EPS,DividendYield,CashDividend,StockDividend
3044,健鼎,7.7299999999999995,4.746,3.675,
2548,華固,9.631,7.902999999999999,5.455,
1558,伸興,12.281,6.683999999999999,8.67,
3131,弘塑,13.389,5.7170000000000005,8.75,
5534,長虹,10.078999999999999,8.156000000000002,5.82,
6569,醫揚,8.683333333333334,,5.8,
8422,可寧衛,11.251000000000001,5.533333333333333,9.563333333333333,
5283,禾聯碩,6.4590000000000005,4.458749999999999,3.1875,
3105,穩懋,5.276999999999999,2.9233333333333333,2.425555555555556,
2707,晶華,9.974,4.198,9.665,0.9733333333333333
2395,研華,8.069999999999999,3.126,5.433,
6666,羅麗芬-KY,6.086,,,
1439,中和,4.189,9.737142857142857,1.8571428571428572,
8016,矽創,6.298999999999999,4.974,3.78,
8446,華研,5.518000000000001,3.8900000000000006,4.228571428571429,
4766,南寶,10.556000000000001,,,
2383,台光電,6.377999999999998,5.3149999999999995,2.791,
2912,統一超,10.126999999999999,3.382,8.014999999999999,
1580,新麥,10.305000000000001,5.725,7.25,0.4666666666666666
6269,台郡,8.623000000000001,3.5700000000000003,3.0780000000000003,0.5437500000000001
6456,GIS-KY,18.16125,4.127999999999999,4.4,
8454,富邦媒,7.642222222222222,3.276666666666666,6.549000000000001,
4958,臻鼎-KY,6.713999999999999,3.775,3.0162500000000003,
6643,M31,8.165000000000001,,,
4438,廣越,8.770000000000001,,5.491999999999999,
2732,六角,7.964444444444445,3.5414285714285714,3.6014285714285714,
1707,葡萄王,7.242,3.7119999999999997,4.668000000000001,
4536,拓凱,6.937,3.91125,4.375,
5288,豐祥-KY,7.362500000000001,4.488333333333333,4.085,
5434,崇越,6.5059999999999985,6.037000000000001,3.7879999999999994,
6452,康友-KY,11.54857142857143,2.596,7.24,
8416,實威,7.669,5.41125,5.24,
6538,倉和,6.468333333333334,,2.9333333333333336,
3152,璟德,8.544,4.198,7.226999999999999,
9945,潤泰新,8.058,5.175,2.5100000000000002,
9941,裕融,6.368999999999999,5.174999999999999,4.132,
4163,鐿鈦,6.263,3.1475,3.5799999999999996,
8083,瑞穎,7.264999999999999,5.36,5.7,
9921,巨大,8.541,3.021,5.24,
3708,上緯投控,5.242500000000001,,,
2345,智邦,3.5799999999999996,5.67,2.065,
6294,智基,4.755,,,
8341,日友,5.822857142857144,2.912,2.7350000000000003,
2308,台達電,7.300000000000002,3.772,5.0680000000000005,
6568,宏觀,8.745000000000001,,4.38,
8480,泰昇-KY,7.353333333333334,,,
8081,致新,7.019999999999999,7.469000000000001,6.157,
2428,興勤,5.848999999999999,4.916,2.5599999999999996,
1477,聚陽,7.943,5.351999999999999,6.664,
2228,劍麟,6.781999999999999,3.615714285714285,3.857,
3558,神準,9.218,5.557,6.005,
3130,一零四,8.584,5.54,7.103,
2458,義隆,3.66,5.06,2.4859999999999998,
9910,豐泰,5.5649999999999995,4.0520000000000005,3.6499999999999995,0.5199999999999999
2385,群光,6.492,5.929,4.165000000000001,0.1722222222222222
3570,大塚,4.821000000000001,4.6209999999999996,2.586,
9914,美利達,7.798,3.286,4.26,
2317,鴻海,8.336000000000002,2.9930000000000003,2.6100000000000003,0.9857142857142858
5903,全家,5.794,2.4969999999999994,4.33,
8499,鼎炫-KY,9.48,,,
6213,聯茂,4.2010000000000005,5.648000000000001,2.196,
6230,超眾,6.527000000000001,4.551,3.8349999999999995,
4190,佐登-KY,-13.3825,4.058,3.7,
4736,泰博,5.611,5.619000000000001,4.91,
6596,寬宏藝術,4.496666666666667,,,
